company_id,person_id,match_type,score
92175,74742182,Exact,1.0
92175,74742182,Exact,1.0
92175,4449219,Exact,1.0
92175,12261700,Exact,1.0
92175,55940598,Exact,1.0
92175,55940598,Exact,1.0
92206,79517658,Exact,1.0
92213,45178910,Exact,1.0
92214,69955895,Exact,1.0
92258,45227926,Exact,1.0
92258,45227926,Exact,1.0
92258,45227926,Exact,1.0
92259,49930948,Exact,1.0
92259,4739357,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,51464576,Exact,1.0
92259,4624705,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92259,11663394,Exact,1.0
92266,52653065,Exact,1.0
92266,72487922,Exact,1.0
92304,45208975,Exact,1.0
92305,47107004,Exact,1.0
92305,47107004,Exact,1.0
92305,47107004,Exact,1.0
92305,53694789,Exact,1.0
92309,12405372,Exact,1.0
92309,12405372,Exact,1.0
92309,12405372,Exact,1.0
92347,12173515,Exact,1.0
92347,12173515,Exact,1.0
92362,12391405,Exact,1.0
92362,12391405,Exact,1.0
92362,12391405,Exact,1.0
92362,12391405,Exact,1.0
92363,52396476,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
92363,9780205,Exact,1.0
